city,date,weathers
Tallahassee,6/15/20,28
Tallahassee,7/15/20,31
Tallahassee,8/15/20,28
Tallahassee,9/15/20,23
Tallahassee,10/15/20,23
Tallahassee,11/15/20,23
Tallahassee,12/15/20,14
Columbia,1/15/20,20
Columbia,2/15/20,7
Columbia,3/15/20,12
Columbia,4/15/20,15
Columbia,5/15/20,24
Columbia,6/15/20,23
Columbia,7/15/20,30
Columbia,8/15/20,31
Columbia,9/15/20,25
Columbia,10/15/20,23
Columbia,11/15/20,20
Columbia,12/15/20,7
Richardson,1/15/20,21
Richardson,2/15/20,10
Richardson,3/15/20,18
Richardson,4/15/20,13
Richardson,5/15/20,26
Richardson,6/15/20,30
Richardson,7/15/20,32
Richardson,8/15/20,34
Richardson,9/15/20,26
Richardson,10/15/20,22
Richardson,11/15/20,16
Richardson,12/15/20,7
Newton,1/15/20,6
Newton,2/15/20,-5
Newton,3/15/20,3
Newton,4/15/20,8
Newton,5/15/20,16
Newton,6/15/20,19
Newton,7/15/20,21
Newton,8/15/20,21
Newton,9/15/20,18
Newton,10/15/20,17
Newton,11/15/20,6
Newton,12/15/20,-1
Ames,1/15/20,-5
Ames,2/15/20,-1
Ames,3/15/20,2
Ames,4/15/20,3
Ames,5/15/20,17
Ames,6/15/20,20
Ames,7/15/20,20
Ames,8/15/20,19
Ames,9/15/20,22
Ames,10/15/20,8
Ames,11/15/20,5
Ames,12/15/20,-5
Rolla,1/15/20,12
Rolla,2/15/20,3
Rolla,3/15/20,4
Rolla,4/15/20,8
Rolla,5/15/20,21
Rolla,6/15/20,21
Rolla,7/15/20,27
Rolla,8/15/20,25
Rolla,9/15/20,19
Rolla,10/15/20,12
Rolla,11/15/20,9
Rolla,12/15/20,-1
Detroit,1/15/20,2
Detroit,2/15/20,-6
Detroit,3/15/20,2
Detroit,4/15/20,3
Detroit,5/15/20,20
Detroit,6/15/20,18
Detroit,7/15/20,26
Detroit,8/15/20,24
Detroit,9/15/20,19
Detroit,10/15/20,13
Detroit,11/15/20,8
Detroit,12/15/20,-3
Bethlehem,1/15/20,24
Bethlehem,2/15/20,24
Bethlehem,3/15/20,23
Bethlehem,4/15/20,15
Bethlehem,5/15/20,13
Bethlehem,6/15/20,7
Bethlehem,7/15/20,5
Bethlehem,8/15/20,16
Bethlehem,9/15/20,18
Bethlehem,10/15/20,23
Bethlehem,11/15/20,23
Bethlehem,12/15/20,23
Corvallis,1/15/20,1
Corvallis,2/15/20,4
Corvallis,3/15/20,2
Corvallis,4/15/20,12
Corvallis,5/15/20,13
Corvallis,6/15/20,13
Corvallis,7/15/20,21
Corvallis,8/15/20,26
Corvallis,9/15/20,18
Corvallis,10/15/20,12
Corvallis,11/15/20,10
Corvallis,12/15/20,6
Newark,1/15/20,9
Newark,2/15/20,-2
Newark,3/15/20,9
Newark,4/15/20,9
Newark,5/15/20,23
Newark,6/15/20,22
Newark,7/15/20,26
Newark,8/15/20,26
Newark,9/15/20,19
Newark,10/15/20,20
Newark,11/15/20,11
Newark,12/15/20,1
Athens,1/15/20,9
Athens,2/15/20,11
Athens,3/15/20,16
Athens,4/15/20,15
Athens,5/15/20,30
Athens,6/15/20,28
Athens,7/15/20,26
Athens,8/15/20,30
Athens,9/15/20,25
Athens,10/15/20,22
Athens,11/15/20,15
Athens,12/15/20,11
Knoxville,1/15/20,16
Knoxville,2/15/20,4
Knoxville,3/15/20,11
Knoxville,4/15/20,9
Knoxville,5/15/20,23
Knoxville,6/15/20,22
Knoxville,7/15/20,30
Knoxville,8/15/20,27
Knoxville,9/15/20,25
Knoxville,10/15/20,20
Knoxville,11/15/20,13
Knoxville,12/15/20,4
Lincoln,1/15/20,-5
